id,lat,lon
GV0209,41.28603,-8.29831
GV0210,41.28538,-8.30283
GV0211,41.28524,-8.30296
GV0212,41.28212,-8.30859
GV0213,41.2753,-8.30424
GV0214,41.27538,-8.30415
GV0215,41.27547,-8.30357
GV0216,41.27569,-8.30283
GV0217,41.27535,-8.3039
GV0218,41.27529,-8.3038
GV0219,41.27532,-8.30397
GV0220,41.27516,-8.30405
GV0221,41.27513,-8.30411
GV0223,41.28746,-8.27612
GV0224,41.28739,-8.27616
GV0225,41.28732,-8.27619
GV0226,41.28753,-8.27585
GV0227,41.28763,-8.27569
GV0304,41.28107,-8.27636
GV0305,41.28138,-8.27598
GV0306,41.28131,-8.27621
GV0307,41.28006,-8.26665
GV0308,41.28024,-8.26614
GV0309,41.28019,-8.26608
GV0310,41.28019,-8.26599
GV0311,41.2801,-8.26595
GV0312,41.28006,-8.26589
GV0313,41.28003,-8.26582
GV0314,41.28,-8.26574
GV0315,41.28018,-8.26572
GV0316,41.2802,-8.26557
GV0317,41.28027,-8.26592
GV0318,41.28026,-8.26586
GV0319,41.2805,-8.26581
GV0320,41.28053,-8.26591
GV0321,41.28024,-8.26605
GV0322,41.2808,-8.26483
GV0323,41.28071,-8.2649
GV0324,41.28073,-8.26503
GV0325,41.28099,-8.26492
GV0326,41.28114,-8.26289
GV0327,41.28021,-8.26332
GV0328,41.27949,-8.26311
GV0329,41.27858,-8.26426
GV0330,41.27856,-8.26419
GV0331,41.27777,-8.2649
GV0332,41.27764,-8.26458
GV0333,41.33795,-8.30764
GV0334,41.33799,-8.30759
GV0335,41.33804,-8.30754
GV0336,41.34018,-8.30933
GV0337,41.34017,-8.3093
GV0338,41.33637,-8.31169
GV0340,41.33821,-8.32049
GV0341,41.34081,-8.32002
GV0342,41.33735,-8.32318
GV0343,41.33637,-8.32138
GV0344,41.33599,-8.3213
GV0345,41.33578,-8.32107
GV0346,41.33582,-8.32133
GV0347,41.33584,-8.32146
GV0348,41.33595,-8.32151
GV0349,41.33602,-8.32147
GV0350,41.33551,-8.32152
GV0351,41.33543,-8.32153
